Study Status,Study Results,Interventions,Sex,Age,Phases,Enrollment,Funder Type,Study Design,Start Date,Completion Date
TERMINATED,NO,DRUG: Sitravatinib,ALL,"ADULT, OLDER_ADULT",PHASE2,3,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2021-09-22,2023-01-03
RECRUITING,NO,DRUG: Tamoxifen|DRUG: Anastrozole|DRUG: Degarelix|DRUG: Abemaciclib,MALE,"ADULT, OLDER_ADULT",PHASE2,60,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2023-10-11,2036-04-01
RECRUITING,NO,RADIATION: Metastases-directed Radiotherapy,FEMALE,"ADULT, OLDER_ADULT",NA,564,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2021-03-05,2025-06-30
NOT_YET_RECRUITING,NO,"DRUG: Trastuzumab deruxtecan|DRUG: Phesgo 1,200 MG / 600 MG / 30,000 UNT Per 15 ML Injection|DRUG: Phesgo 600 MG / 600 MG / 20,000 UNT in 10 mL Injection",ALL,"ADULT, OLDER_ADULT",PHASE2,165,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2024-05,2029-05
WITHDRAWN,NO,DRUG: NUV-422|DRUG: Fulvestrant,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,0,INDUSTRY,Allocation: RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,2022-09,2026-09
RECRUITING,NO,DRUG: 18F-fluorofuranylnorprogesterone|DEVICE: Positron Emissions Tomography / Magnetic Resonance Imaging|DRUG: Anastrozole|OTHER: Blood Sampling|DRUG: Gadobenate dimeglumine,FEMALE,"ADULT, OLDER_ADULT",PHASE2,53,OTHER,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: DIAGNOSTIC,2024-02,2030-01
COMPLETED,YES,DEVICE: Flexitouch Plus with Cellular Connectivity (FT-CC),FEMALE,"ADULT, OLDER_ADULT",NA,29,INDUSTRY,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2020-08-13,2021-11-19
RECRUITING,NO,OTHER: Best Practice|DEVICE: Wound Dressing Material|OTHER: Quality-of-Life Assessment|OTHER: Questionnaire Administration,ALL,"ADULT, OLDER_ADULT",PHASE3,216,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION,2022-06-15,2025-12-31
RECRUITING,NO,OTHER: CARE|OTHER: TARE|OTHER: Home-Based Stretching,FEMALE,"ADULT, OLDER_ADULT",NA,300,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,2021-08-13,2026-06-15
RECRUITING,NO,DRUG: PG2 Lyo. Injection 500mg|DRUG: Placebo 0.9% normal saline,FEMALE,"ADULT, OLDER_ADULT",PHASE2,36,INDUSTRY,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT",2022-06-15,2022-12
RECRUITING,NO,OTHER: Evaluation on skin toxicities,ALL,"ADULT, OLDER_ADULT",NA,300,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2020-11-25,2024-07-25
RECRUITING,NO,DRUG: Talazoparib,FEMALE,"ADULT, OLDER_ADULT",PHASE2,55,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2022-03-08,2025-11
RECRUITING,NO,DRUG: Dalcelli、Exemestane、Gosserine|DRUG: Docetaxel for injection、Epirubicin hydrochloride for injection、Cyclophosphamide for injection,FEMALE,"ADULT, OLDER_ADULT",PHASE2|PHASE3,119,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (INVESTIGATOR)|Primary Purpose: TREATMENT,2023-04-11,2026-09-11
COMPLETED,NO,DRUG: GLR2007,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,19,INDUSTRY,Allocation: NON_RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,2020-07-15,2022-07-29
COMPLETED,NO,DEVICE: BNT103,FEMALE,ADULT,NA,15,INDUSTRY,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DEVICE_FEASIBILITY,2021-09-01,2021-12-31
TERMINATED,NO,DEVICE: Epicutaneous cryoimmunotherapy|DRUG: Topical imiquimod|DRUG: Pembrolizumab|OTHER: Dermatologic Quality of Life Index|OTHER: Functional Assessment of Cancer Therapy|DRUG: Intra-lesional GM-CSF|DEVICE: Cry-AC|PROCEDURE: Cutaneous tumor biopsy|PROCEDURE: Peripheral blood draw for research,ALL,"ADULT, OLDER_ADULT",PHASE1,1,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2020-09-14,2021-03-03
ACTIVE_NOT_RECRUITING,NO,OTHER: Electronic Health Record Review|PROCEDURE: Ultrasound Microvessel Imaging,FEMALE,"ADULT, OLDER_ADULT",EARLY_PHASE1,50,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DIAGNOSTIC,2021-08-19,2024-04
ACTIVE_NOT_RECRUITING,NO,PROCEDURE: Computed Tomography|OTHER: Fludeoxyglucose F-18|PROCEDURE: Positron Emission Tomography,ALL,"ADULT, OLDER_ADULT",PHASE2,138,NETWORK,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DIAGNOSTIC,2020-09-15,2027-08-31
RECRUITING,NO,DRUG: oral vinorelbine and capecitabine,FEMALE,"ADULT, OLDER_ADULT",PHASE2,30,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2022-01-01,2023-06
ACTIVE_NOT_RECRUITING,NO,BIOLOGICAL: NM21-1480,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,406,INDUSTRY,Allocation: NA|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,2020-08-19,2024-01
RECRUITING,NO,DRUG: Ovarian Function Suppression + Aromatase Inhibitor|DRUG: Adjuvant Chemotherapy + Ovarian Function Suppression,FEMALE,ADULT,PHASE3,3960,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2023-08-31,2034-07
RECRUITING,NO,DRUG: Ribociclib|DRUG: Fulvestrant|DRUG: Anastrozole|DRUG: Letrozole|DRUG: Exemestane,ALL,"ADULT, OLDER_ADULT",PHASE2,200,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2022-09-13,2027-12
RECRUITING,NO,OTHER: Discontinuation of Anti-HER-2 Maintenance Treatment,ALL,"ADULT, OLDER_ADULT",NA,20,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DIAGNOSTIC,2023-07-17,2029-07-31
RECRUITING,NO,DRUG: TT-702,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE1|PHASE2,114,OTHER,Allocation: NON_RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,2022-01-19,2025-09
RECRUITING,NO,DRUG: Letrozole 2.5mg|DRUG: Letrozole + vitamin D3 and calcium,FEMALE,"ADULT, OLDER_ADULT",PHASE2|PHASE3,40,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2022-11-01,2024-10
ACTIVE_NOT_RECRUITING,NO,DRUG: Trastuzumab deruxtecan,ALL,"ADULT, OLDER_ADULT",PHASE2,468,INDUSTRY,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2020-08-18,2027-07-30
RECRUITING,NO,BEHAVIORAL: Mediterranean diet supplemented with extra-virgin olive oil|BEHAVIORAL: Low-fat diet,FEMALE,"ADULT, OLDER_ADULT",NA,766,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: OTHER",2020-05-29,2024-12
RECRUITING,NO,DRUG: Ribociclib + Letrozole OR Fulvestrant|DRUG: Palbociclib + Letrozole OR Fulvestrant|DRUG: Paclitaxel +/- Tislelizumab,ALL,"ADULT, OLDER_ADULT",PHASE3,456,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2022-03-28,2027-03-01
RECRUITING,NO,RADIATION: Pencil Beam Scanning Proton Therapy,ALL,"ADULT, OLDER_ADULT",NA,1800,OTHER,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2022-01-24,2027-01
RECRUITING,NO,DRUG: Take probiotics,ALL,"ADULT, OLDER_ADULT",NA,100,OTHER,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,2023-04-12,2024-08
ACTIVE_NOT_RECRUITING,NO,PROCEDURE: Prepectoral reconstruction,FEMALE,"ADULT, OLDER_ADULT",NA,81,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2020-06-22,2026-12
TERMINATED,NO,BEHAVIORAL: Acute Exercise,FEMALE,"ADULT, OLDER_ADULT",NA,3,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2023-02-01,2023-06-29
RECRUITING,NO,DRUG: CBD-dominant|DRUG: THC dominant,ALL,"ADULT, OLDER_ADULT",PHASE1,30,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2023-04-01,2025-04-01
RECRUITING,NO,OTHER: Aerobic Exercise Training|OTHER: Attention Control,FEMALE,"ADULT, OLDER_ADULT",NA,126,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: SUPPORTIVE_CARE,2020-01-17,2025-08-31
COMPLETED,NO,BEHAVIORAL: Written Weight Loss Material|BEHAVIORAL: Weight Loss App|BEHAVIORAL: Behavioral Lifestyle Weight Loss Intervention (Coaching),ALL,"ADULT, OLDER_ADULT",NA,340,OTHER,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,2020-09-22,2023-06-30
ACTIVE_NOT_RECRUITING,NO,PROCEDURE: Serratus posterior superior intercostal plane block,FEMALE,"ADULT, OLDER_ADULT",NA,60,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (CARE_PROVIDER, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION",2024-01-01,2024-05-01
RECRUITING,NO,DRUG: Imlunestrant|DRUG: Exemestane|DRUG: Fulvestrant|DRUG: Abemaciclib,ALL,"ADULT, OLDER_ADULT",PHASE3,860,INDUSTRY,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2021-10-04,2027-08-31
NOT_YET_RECRUITING,NO,DRUG: capecitabine and trastuzumab|DRUG: vinorelbine and trastuzumab,FEMALE,"ADULT, OLDER_ADULT",PHASE2,356,OTHER,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2021-07-01,2026-06-30
COMPLETED,NO,PROCEDURE: serratus plane block|PROCEDURE: erector spinae block|DRUG: Morphine Sulfate,FEMALE,"ADULT, OLDER_ADULT",NA,75,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2020-01-28,2020-07-01
RECRUITING,NO,PROCEDURE: One-stage immediate breast reconstruction,FEMALE,"ADULT, OLDER_ADULT",NA,60,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,2023-11-02,2026-04-30
RECRUITING,NO,OTHER: assessment of UL function and prognostic factors,ALL,"ADULT, OLDER_ADULT",NA,250,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SCREENING,2022-04-26,2025-02
RECRUITING,NO,RADIATION: Stereotactic Radiation|DRUG: AGuIX gadolinium-based nanoparticles|OTHER: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE2,134,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2021-09-15,2026-02
RECRUITING,NO,DRUG: Elacestrant|DRUG: Abemaciclib,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,106,OTHER,Allocation: NON_RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,2022-08-31,2025-12
UNKNOWN,NO,DRUG: CYH33|DRUG: Fulvestrant|DRUG: Letrozole|DRUG: Palbociclib,ALL,"ADULT, OLDER_ADULT",PHASE1,228,INDUSTRY,Allocation: NON_RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,2021-04,2022-12
UNKNOWN,NO,DEVICE: VABB Elite 10G|DEVICE: BARD 14G CNB,ALL,"ADULT, OLDER_ADULT",PHASE3,1470,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: DIAGNOSTIC,2020-11-01,2022-06-30
RECRUITING,NO,DRUG: capecitabine|DRUG: capecitabine + camrelizumab + apatinib,FEMALE,"ADULT, OLDER_ADULT",PHASE2|PHASE3,260,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2021-04-01,2033-09-01
RECRUITING,NO,OTHER: Questionnaire,FEMALE,"ADULT, OLDER_ADULT",NA,189,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: PREVENTION,2022-05-31,2032-04-01
UNKNOWN,NO,PROCEDURE: Blood sample collection,ALL,"ADULT, OLDER_ADULT",NA,76,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: OTHER,2020-03-11,2023-12
RECRUITING,NO,BEHAVIORAL: Mobile Health Pain Coping Skills Training (mPCST),FEMALE,"ADULT, OLDER_ADULT",NA,180,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2021-10-20,2025-01-31
RECRUITING,NO,"DRUG: cytotoxic chemotherapy (docetaxel or epirubicin or cyclophosphamide or carboplatin)|DRUG: anti-Her2 monoclonal antibody (Trastuzumab, Pertuzumab)|DRUG: traditional herbal medicine",ALL,"ADULT, OLDER_ADULT",PHASE2,100,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2021-10-20,2023-07-01
RECRUITING,NO,BEHAVIORAL: Together After Cancer,ALL,"ADULT, OLDER_ADULT",NA,480,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,2023-01-01,2026-03-01
NOT_YET_RECRUITING,NO,BEHAVIORAL: The home-based extremity exercise program,FEMALE,"ADULT, OLDER_ADULT",NA,88,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,2022-12-01,2023-12-31
NOT_YET_RECRUITING,NO,DRUG: Dalpiciclib|DRUG: Pyrotinib|DRUG: Fulvestrant,ALL,"ADULT, OLDER_ADULT",PHASE2,30,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2023-05,2025-12
WITHDRAWN,NO,DIETARY_SUPPLEMENT: Dietary Intervention,FEMALE,"ADULT, OLDER_ADULT",NA,0,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: OTHER,2022-06-15,2023-06-15
COMPLETED,NO,DEVICE: Constructive Shearwave Interference (CSI),ALL,"ADULT, OLDER_ADULT",NA,21,INDUSTRY,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: OTHER,2022-05-26,2023-08-31
ACTIVE_NOT_RECRUITING,NO,BIOLOGICAL: TAEK-VAC-HerBy,ALL,"ADULT, OLDER_ADULT",PHASE1,55,INDUSTRY,Allocation: NON_RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,2020-08-10,2026-06
RECRUITING,NO,DRUG: Abemaciclib|DRUG: Abemaciclib|DRUG: Abemaciclib|DRUG: Abemaciclib,ALL,"ADULT, OLDER_ADULT",PHASE4,50,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2023-12-28,2030-11
RECRUITING,NO,DEVICE: Photobiomodulation therapy (PBMT)|PROCEDURE: Manual Lymphatic drainage,FEMALE,"ADULT, OLDER_ADULT",NA,104,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2021-02-22,2028-02
RECRUITING,NO,RADIATION: Prophylactic contralateral breast irradiation,FEMALE,"ADULT, OLDER_ADULT",NA,323,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION",2023-01-01,2029-12-01
RECRUITING,NO,DRUG: oxybutynin ER|DRUG: Paroxetine CR,FEMALE,"CHILD, ADULT, OLDER_ADULT",PHASE3,146,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2022-02-10,2023-12
RECRUITING,NO,BEHAVIORAL: Cancer Educational Materials|OTHER: Decision Aid|OTHER: Decision Aid|OTHER: Interview|OTHER: Questionnaire Administration,ALL,"CHILD, ADULT, OLDER_ADULT",NA,415,NETWORK,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,2022-09-01,2028-06-01
COMPLETED,NO,BEHAVIORAL: Behavioural Message|BEHAVIORAL: Behavioural Message + Video|OTHER: Usual Care Message,FEMALE,"ADULT, OLDER_ADULT",NA,34047,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (CARE_PROVIDER)|Primary Purpose: SCREENING,2022-07-15,2023-01-15
UNKNOWN,NO,OTHER: music|OTHER: comprehensive in-patient education program,ALL,"ADULT, OLDER_ADULT",NA,130,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2020-09-01,2020-12-31
RECRUITING,NO,OTHER: Decision Aid iCanDecide - ESE website|OTHER: Decision Aid iCanDecide - S website|PROCEDURE: Therapeutic Conventional Surgery|OTHER: Interview|OTHER: Training|OTHER: Media Intervention|OTHER: Best Practice|OTHER: Survey Administration|OTHER: Quality-of-Life Assessment,FEMALE,"CHILD, ADULT, OLDER_ADULT",NA,700,OTHER,"Allocation: RANDOMIZED|Intervention Model: FACTORIAL|Masking: DOUBLE (PARTICIPANT, CARE_PROVIDER)|Primary Purpose: HEALTH_SERVICES_RESEARCH",2021-01-15,2027-01
RECRUITING,NO,DRUG: Eribulin mesylate injection、Pertuzumab、Trastuzumab,FEMALE,"ADULT, OLDER_ADULT",PHASE2,78,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2022-02-25,2025-02-25
NOT_YET_RECRUITING,NO,OTHER: Expressive writing,FEMALE,"ADULT, OLDER_ADULT",NA,25,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: OTHER,2024-02-12,2025-12-01
RECRUITING,NO,DEVICE: Electroacupuncture|DRUG: Standard antiemetic treatment|DEVICE: Sham electroacupuncture|DRUG: Standard antiemetic treatment,ALL,"ADULT, OLDER_ADULT",PHASE3,370,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2023-12-20,2026-12-31
NOT_YET_RECRUITING,NO,OTHER: Supportive care and education before surgery,ALL,"ADULT, OLDER_ADULT",NA,70,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, CARE_PROVIDER)|Primary Purpose: SUPPORTIVE_CARE",2023-07-01,2023-12-30
RECRUITING,NO,DRUG: Placebo|DRUG: Fenofibrate 160mg,FEMALE,ADULT,NA,50,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2023-01-01,2024-02-01
COMPLETED,NO,BEHAVIORAL: Noom Healthy Weight Program,FEMALE,"ADULT, OLDER_ADULT",NA,30,INDUSTRY,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: HEALTH_SERVICES_RESEARCH,2021-03-24,2021-10-01
RECRUITING,NO,OTHER: Correlative Studies (Survey)|OTHER: Correlative Studies (Interview)|BEHAVIORAL: GeneSHARE|BEHAVIORAL: LivingLabReport|BEHAVIORAL: Standard-of-care & Adaptive Intervention|OTHER: Access to Education Materials,ALL,"ADULT, OLDER_ADULT",NA,720,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,2022-08-05,2028-12
ACTIVE_NOT_RECRUITING,NO,OTHER: Quality of Life Questionnaires,ALL,"ADULT, OLDER_ADULT",NA,109,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: SUPPORTIVE_CARE,2020-08-13,2024-08
COMPLETED,NO,DRUG: Bintrafusp Alfa|DRUG: Pimasertib|OTHER: Quality-of-Life Assessment,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,8,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2021-01-15,2023-12-08
ACTIVE_NOT_RECRUITING,NO,DRUG: RP12146,ALL,"ADULT, OLDER_ADULT",PHASE1,23,INDUSTRY,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2021-10-05,2024-02
RECRUITING,NO,DRUG: Azacitidine,FEMALE,"ADULT, OLDER_ADULT",PHASE2,40,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2022-01-10,2024-05
RECRUITING,NO,RADIATION: 1 week RT|RADIATION: 2 week RT,FEMALE,"ADULT, OLDER_ADULT",NA,1018,OTHER_GOV,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2021-03-30,2028-08-20
COMPLETED,NO,DRUG: MetFORMIN 500 Mg Oral Tablet|DRUG: Chemotherapy,FEMALE,"ADULT, OLDER_ADULT",PHASE4,107,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2020-06-01,2021-07-31
RECRUITING,NO,DEVICE: Breast Tomosynthesis,FEMALE,"ADULT, OLDER_ADULT",NA,150,INDUSTRY,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: OTHER,2023-02-15,2024-02
RECRUITING,NO,DRUG: AZD5305|DRUG: Paclitaxel|DRUG: Carboplatin|DRUG: T- Dxd|DRUG: Dato-DXd|DRUG: Camizestrant,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,804,INDUSTRY,Allocation: NON_RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,2020-11-12,2026-12-15
RECRUITING,NO,BEHAVIORAL: Exercise Programme|BEHAVIORAL: Control,FEMALE,"ADULT, OLDER_ADULT",NA,2156,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2023-07-01,2033-05-31
RECRUITING,NO,DRUG: Tucatinib,FEMALE,"ADULT, OLDER_ADULT",PHASE2,28,OTHER,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2023-05-09,2028-05-09
ACTIVE_NOT_RECRUITING,NO,PROCEDURE: No SLNB|PROCEDURE: SLNB,FEMALE,"ADULT, OLDER_ADULT",NA,1734,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2020-09-15,2027-12-31
RECRUITING,NO,DRUG: Lenvatinib|DRUG: Pembrolizumab,FEMALE,"ADULT, OLDER_ADULT",PHASE1,12,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2020-07-09,2026-07
RECRUITING,NO,DRUG: Lenvatinib|DRUG: Pembrolizuma|DRUG: Fulvestrant,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,43,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2023-12-29,2026-11
RECRUITING,NO,DRUG: Losartan,FEMALE,"ADULT, OLDER_ADULT",PHASE2,84,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION,2023-12-12,2024-06-30
RECRUITING,NO,PROCEDURE: Home-based cardiac rehabilitation,ALL,"ADULT, OLDER_ADULT",NA,25,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2021-01-15,2025-03-31
RECRUITING,NO,DRUG: Giredestrant|DRUG: Tamoxifen,FEMALE,"ADULT, OLDER_ADULT",PHASE2,92,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2023-07-20,2024-12
RECRUITING,NO,DRUG: pegylated liposomal doxorubicin (PLD)|DRUG: cyclophosphamide (C)|DRUG: trastuzumab (H)|DRUG: pertuzumab (P)|DRUG: docetaxel (T)|DRUG: docetaxel (T)|DRUG: carboplatin (Cb)|DRUG: trastuzumab (H)|DRUG: pertuzumab (P),FEMALE,"ADULT, OLDER_ADULT",PHASE3,372,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2021-12-20,2028-01-31
RECRUITING,NO,DRUG: Ribociclib Oral Tablet,FEMALE,OLDER_ADULT,PHASE1|PHASE2,85,OTHER,Allocation: NA|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,2023-06-26,2032-03
