Study Status,Study Results,Interventions,Sex,Age,Phases,Enrollment,Funder Type,Study Design,Start Date,Completion Date
WITHDRAWN,NO,DIETARY_SUPPLEMENT: Ozonized oil (HOO,ALL,"ADULT, OLDER_ADULT",NA,0,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2021-07,2021-12
COMPLETED,NO,DRUG: Lithium|DRUG: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE2,50,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2022-11-28,2023-07-21
COMPLETED,NO,DRUG: Therapeutic Anticoagulation,ALL,"ADULT, OLDER_ADULT",PHASE3,465,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2020-05-11,2021-10-14
ACTIVE_NOT_RECRUITING,NO,BIOLOGICAL: ABO1009-DP|BIOLOGICAL: ABO-CoV.617.2|OTHER: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE1,60,INDUSTRY,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: PREVENTION",2022-07-08,2023-08-30
COMPLETED,NO,DRUG: Nirmatrelvir/ ritonavir|DRUG: Nirmatrelvir/Ritonavir|DRUG: Nirmatrelvir/Ritonavir|DRUG: Nirmatrelvir/ritonavir|DRUG: Nirmatrelvir/ritonavir,ALL,"ADULT, OLDER_ADULT",PHASE1,12,INDUSTRY,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2022-09-28,2022-11-29
UNKNOWN,NO,BIOLOGICAL: Recombinant COVID-19 vaccine (Sf9 cell),ALL,ADULT,NA,892,INDUSTRY,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: PREVENTION",2022-07,2023-04
TERMINATED,NO,DRUG: Tocilizumab,ALL,"ADULT, OLDER_ADULT",PHASE3,129,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2020-05-08,2020-07-21
COMPLETED,NO,PROCEDURE: haemodialysis,ALL,"ADULT, OLDER_ADULT",NA,100,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION",2021-06-01,2022-01-01
RECRUITING,NO,BIOLOGICAL: the recombinant SARS-CoV-2 S-Trimer vaccine/inactivated SARS-CoV-2 vaccine,ALL,ADULT,EARLY_PHASE1,63,INDUSTRY,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,2022-07-13,2023-12-09
COMPLETED,NO,DRUG: Metformin Glycinate|DRUG: Placebo oral tablet,ALL,"ADULT, OLDER_ADULT",PHASE2,20,INDUSTRY,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2020-07-14,2021-03-18
RECRUITING,NO,DRUG: Montelukast Oral Tablet|DRUG: Montelukast plus Favicovir (Favipiravir)|DRUG: Favicovir (Standard Treatment),ALL,"ADULT, OLDER_ADULT",PHASE2,380,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2021-05-15,2022-06-01
ACTIVE_NOT_RECRUITING,NO,DIAGNOSTIC_TEST: Capillary Collection & Testing|DIAGNOSTIC_TEST: Venous Draw & Testing,ALL,"CHILD, ADULT, OLDER_ADULT",NA,153,INDUSTRY,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DIAGNOSTIC,2020-07-09,2023-09-30
COMPLETED,NO,BIOLOGICAL: Serology SARS-CoV2|BEHAVIORAL: Data collection,ALL,"CHILD, ADULT, OLDER_ADULT",NA,563,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2020-06-19,2021-04-30
UNKNOWN,NO,BIOLOGICAL: Inactivated Coronavac/Butantan vaccine|BIOLOGICAL: BNT162b2 (Pfizer),ALL,"CHILD, ADULT",PHASE3,1120,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION",2022-01-21,2023-03-21
RECRUITING,NO,BEHAVIORAL: General SARS-CoV-2 Communication|BEHAVIORAL: Rural-Targeted SARS-CoV-2 Communication,ALL,"ADULT, OLDER_ADULT",NA,200,OTHER,Allocation: RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: SINGLE (PARTICIPANT)|Primary Purpose: SCREENING,2023-05-01,2024-06-30
COMPLETED,NO,BIOLOGICAL: UQSC2 Vaccine|BIOLOGICAL: NVX-CoV2373 vaccine,ALL,ADULT,PHASE1,70,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION",2023-05-08,2023-06-16
RECRUITING,NO,DRUG: Sotrovimab,ALL,"ADULT, OLDER_ADULT",PHASE4,500,INDUSTRY,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2022-07-01,2023-11-15
UNKNOWN,NO,RADIATION: Low Dose Radiotherapy,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,5,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2020-05-04,2020-12
COMPLETED,NO,DRUG: rhDNase I,ALL,"ADULT, OLDER_ADULT",PHASE1,15,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2020-12-25,2021-08-01
NOT_YET_RECRUITING,NO,"BIOLOGICAL: ""Sputnik Lite"" vaccine for the prevention of COVID-19 with altered antigenic composition",ALL,"ADULT, OLDER_ADULT",PHASE3,50,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: PREVENTION,2023-09,2024-12
COMPLETED,NO,DRUG: Botulinum Neurotoxin|DRUG: Placebo,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE1,45,OTHER,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,2020-07-20,2020-12-01
WITHDRAWN,NO,DRUG: Rapamycin|DRUG: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,0,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2021-04,2023-01
COMPLETED,NO,DRUG: Control group (standard hospital treatment)|DRUG: Group Hydroxychloroquine|DRUG: Group Hydroxychloroquine and apixaban|DRUG: Group Apixaban,ALL,"ADULT, OLDER_ADULT",PHASE3,176,OTHER,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION",2020-07-01,2020-12-23
COMPLETED,NO,BIOLOGICAL: MVC-COV1901 (High-Dose)|BIOLOGICAL: MVC-COV1901(Mid-Dose),ALL,OLDER_ADULT,PHASE2,420,INDUSTRY,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: PREVENTION",2021-05-20,2022-01-28
COMPLETED,NO,OTHER: Respiratory Music Therapy Protocol,ALL,"ADULT, OLDER_ADULT",NA,33,OTHER,Allocation: NA|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2022-01-13,2023-03-13
COMPLETED,NO,RADIATION: Low dose Radiotherapy,ALL,"ADULT, OLDER_ADULT",NA,2,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: HEALTH_SERVICES_RESEARCH,2020-11-25,2022-06-30
UNKNOWN,NO,PROCEDURE: Placenta-Derived MMSCs; Cryopreserved Placenta-Derived Multipotent Mesenchymal Stromal Cells|DRUG: Antibiotics|DRUG: Hormones|DRUG: Anticoagulant Therapy|DEVICE: Оxygen therapy,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,30,INDUSTRY,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2020-05-02,2021-12
WITHDRAWN,NO,DRUG: HCQ01|DRUG: standard of care (SOC) for COVID-19,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,0,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2022-10,2022-12
TERMINATED,NO,DRUG: VIB7734|DRUG: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE1,10,INDUSTRY,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2020-08-28,2021-05-19
TERMINATED,NO,DRUG: Losartan|DRUG: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,15,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2020-04-06,2021-12-01
ACTIVE_NOT_RECRUITING,NO,BIOLOGICAL: Omalizumab|OTHER: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE2,40,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT",2021-10-15,2022-12-16
ACTIVE_NOT_RECRUITING,NO,BIOLOGICAL: 25 Baiya SARS-CoV-2 Vax 2|BIOLOGICAL: 50 Baiya SARS-CoV-2 Vax 2,ALL,ADULT,PHASE1,24,INDUSTRY,Allocation: NON_RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: PREVENTION,2022-03-28,2024-04-10
UNKNOWN,NO,BIOLOGICAL: Anti-SARS-CoV-2 immunoglobulin,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,41,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2020-12-01,2021-03-31
NOT_YET_RECRUITING,NO,BIOLOGICAL: Allogeneic Mesenchymal Stromal Cells,ALL,"ADULT, OLDER_ADULT",PHASE1,10,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2024-09,2027-05
UNKNOWN,NO,DRUG: Jing-Si-Herbal-Tea,ALL,"ADULT, OLDER_ADULT",NA,200,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2021-06-01,2021-09-30
COMPLETED,NO,DRUG: Ivermectin and Doxycyline|DRUG: Standard of care,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE1|PHASE2,140,OTHER_GOV,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2020-07-01,2020-10-14
UNKNOWN,NO,OTHER: Chest physiotherapy post-covid19,ALL,"ADULT, OLDER_ADULT",NA,40,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2021-03-01,2021-08-01
COMPLETED,YES,DRUG: Ivermectin|DRUG: Placebo,ALL,ADULT,PHASE2,24,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2020-07-31,2020-10-09
RECRUITING,NO,"OTHER: Anhydrous Enol-Oxaloacetate, a ""Medical Food""|OTHER: White Rice Flour",ALL,"ADULT, OLDER_ADULT",NA,70,INDUSTRY,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT",2023-06-01,2024-04-30
TERMINATED,NO,DRUG: Bevacizumab|DRUG: BAT,ALL,"ADULT, OLDER_ADULT",PHASE2,21,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2020-09-01,2021-08-31
COMPLETED,NO,DRUG: Maraviroc,ALL,"ADULT, OLDER_ADULT",PHASE1,9,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2020-10-01,2020-12-31
ACTIVE_NOT_RECRUITING,NO,DIETARY_SUPPLEMENT: MOLECULAR HYDROGEN|DIETARY_SUPPLEMENT: PLACEBO MAGNESIUM,ALL,"ADULT, OLDER_ADULT",NA,700,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION",2021-01-22,2023-05-22
TERMINATED,NO,BIOLOGICAL: ARCT-021,ALL,"ADULT, OLDER_ADULT",PHASE2,65,INDUSTRY,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2021-01-04,2021-12-28
COMPLETED,NO,"BIOLOGICAL: Two doses of low dosage inactivated SARS-CoV-2 vaccine at the schedule of day 0,28|BIOLOGICAL: Two doses of medium dosage inactivated SARS-CoV-2 vaccine at the schedule of day 0,28|OTHER: Two doses of placebo at the schedule of day 0,28",ALL,CHILD,PHASE1|PHASE2,552,INDUSTRY,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: PREVENTION",2020-10-31,2023-02-08
WITHDRAWN,NO,BIOLOGICAL: CVnCoV Vaccine,ALL,"ADULT, OLDER_ADULT",PHASE3,0,INDUSTRY,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,2021-10-01,2022-09
COMPLETED,NO,BIOLOGICAL: AV-COVID-19|OTHER: GM-CSF,ALL,"ADULT, OLDER_ADULT",PHASE1,27,INDUSTRY,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,2020-12-07,2021-01-15
COMPLETED,YES,DRUG: Bamlanivimab|DRUG: Placebo|DRUG: Etesevimab,ALL,"ADULT, OLDER_ADULT",PHASE3,1180,INDUSTRY,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: PREVENTION",2020-08-02,2021-05-20
TERMINATED,NO,BIOLOGICAL: CpG 1018/Alum-adjuvanted SCB-2019 vaccine|BIOLOGICAL: Havrix|OTHER: Placebo; 0.9% saline,ALL,"ADULT, OLDER_ADULT",PHASE3,1,INDUSTRY,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: PREVENTION",2021-11-12,2022-05-04
COMPLETED,NO,OTHER: Exercise,ALL,"ADULT, OLDER_ADULT",NA,12,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,2021-05-08,2022-04-20
UNKNOWN,NO,"COMBINATION_PRODUCT: Tomeka®|DRUG: ""Vernonia amygdalina""",ALL,"CHILD, ADULT, OLDER_ADULT",NA,2000,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,2020-11,2022-12
UNKNOWN,NO,DRUG: Nuvastatic,ALL,"ADULT, OLDER_ADULT",PHASE1,10,INDUSTRY,Allocation: RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2020-09-01,2020-09-30
COMPLETED,YES,BIOLOGICAL: CVnCoV 6 μg|BIOLOGICAL: CVnCoV 12 μg|BIOLOGICAL: Hepatitis A vaccine|BIOLOGICAL: Pneumococcal vaccine|BIOLOGICAL: CVnCoV 12μg,ALL,"ADULT, OLDER_ADULT",PHASE2,668,INDUSTRY,"Allocation: RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION",2020-09-21,2022-02-21
ACTIVE_NOT_RECRUITING,NO,BIOLOGICAL: Low-dose of LVRNA009|BIOLOGICAL: Middle-dose of LVRNA009|BIOLOGICAL: High-dose of LVRNA009|OTHER: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE1,144,INDUSTRY,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: PREVENTION",2021-07-31,2023-10
TERMINATED,NO,DEVICE: nasal spray,ALL,"ADULT, OLDER_ADULT",NA,13,INDUSTRY,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: PREVENTION",2022-01-14,2022-11-08
COMPLETED,NO,DRUG: tenofovir disoproxil and emtricitabine,ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,60,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2020-11-18,2021-05-01
COMPLETED,NO,BEHAVIORAL: Contain COVID Anxiety SSI|BEHAVIORAL: Remain COVID Free SSI,ALL,"ADULT, OLDER_ADULT",NA,500,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2020-08-19,2020-10-15
TERMINATED,YES,BIOLOGICAL: Convalescent Plasma,ALL,"ADULT, OLDER_ADULT",PHASE2,52,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2020-04-09,2023-04-26
COMPLETED,NO,BEHAVIORAL: Antimicrobial stewardship prospective audit and feedback,ALL,"ADULT, OLDER_ADULT",NA,833,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: OTHER,2021-03-01,2021-11-30
ACTIVE_NOT_RECRUITING,NO,DRUG: Hyperbaric oxygen|PROCEDURE: Sham treatment,ALL,ADULT,PHASE2,80,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2021-09-15,2024-06-30
COMPLETED,NO,DRUG: Firazyr|OTHER: SoC,ALL,"ADULT, OLDER_ADULT",PHASE2,73,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2021-04-12,2022-03-17
WITHDRAWN,NO,DRUG: Hydroxychloroquine,ALL,"ADULT, OLDER_ADULT",PHASE4,0,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,2020-04-10,2020-10-01
RECRUITING,NO,DIETARY_SUPPLEMENT: β-hydroxy β-methyl butyrate (HMB) enriched amino acid|DIETARY_SUPPLEMENT: Balanced amino acid,ALL,"ADULT, OLDER_ADULT",NA,48,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: BASIC_SCIENCE",2021-04-01,2025-03-31
ACTIVE_NOT_RECRUITING,NO,BIOLOGICAL: LYB001|BIOLOGICAL: CoronaVac,ALL,ADULT,EARLY_PHASE1,120,INDUSTRY,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,2022-05-14,2023-06-30
NOT_YET_RECRUITING,NO,DRUG: Tafenoquine Oral Tablet|DRUG: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE2,148,INDUSTRY,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2023-08-01,2024-04-27
TERMINATED,NO,BIOLOGICAL: Convalescent Plasma,ALL,"ADULT, OLDER_ADULT",PHASE1,12,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2020-05-08,2020-08-20
RECRUITING,NO,"OTHER: Low sugar diet and 10-12 hour eating window|OTHER: Low sugar diet, 8 hour eating window and fasting",ALL,"ADULT, OLDER_ADULT",NA,180,OTHER,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2022-11-04,2025-07-30
COMPLETED,NO,DEVICE: MLS Laser|OTHER: Regular Inpatient Medical Care,ALL,"ADULT, OLDER_ADULT",PHASE2,10,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2020-04-30,2020-07-16
RECRUITING,NO,DRUG: Hydroxychloroquine|DRUG: Azithromycin|DIETARY_SUPPLEMENT: Vitamin C|DIETARY_SUPPLEMENT: Vitamin D|DIETARY_SUPPLEMENT: Zinc,ALL,"ADULT, OLDER_ADULT",PHASE2,600,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2020-06-22,2024-09
NOT_YET_RECRUITING,NO,BEHAVIORAL: Psychological measurement,ALL,"CHILD, ADULT, OLDER_ADULT",NA,400,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: HEALTH_SERVICES_RESEARCH,2022-05-20,2022-11-15
NOT_YET_RECRUITING,NO,BIOLOGICAL: SCTV01E|BIOLOGICAL: Comirnaty,ALL,"ADULT, OLDER_ADULT",PHASE2,400,INDUSTRY,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION",2022-07-01,2023-03-01
ACTIVE_NOT_RECRUITING,NO,PROCEDURE: High-Intensity-Interval-Exercise|PROCEDURE: Moderate-Intensity-Continuous-Exercise|PROCEDURE: Strength training|PROCEDURE: Baseline assessment|PROCEDURE: 1 year follow-up,ALL,ADULT,NA,62,OTHER,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: OTHER",2022-09-01,2024-12-31
COMPLETED,NO,DEVICE: UVC Irradiation|DRUG: UVC Irradiation|DEVICE: Fit test|DEVICE: Tensile strength,ALL,ADULT,NA,20,OTHER_GOV,Allocation: NA|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: PREVENTION,2020-04-01,2021-02-05
ACTIVE_NOT_RECRUITING,NO,DRUG: Ivermectin|DRUG: Fluvoxamine|DRUG: Fluticasone|OTHER: Placebo|DRUG: Montelukast|DRUG: Metformin,ALL,"ADULT, OLDER_ADULT",PHASE3,15000,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, CARE_PROVIDER)|Primary Purpose: TREATMENT",2021-06-08,2024-06
WITHDRAWN,NO,"DIAGNOSTIC_TEST: Xiamen Wiz Biotech Co., Ltd. SARS-CoV-2 Antigen Rapid Test",ALL,"CHILD, ADULT, OLDER_ADULT",NA,0,INDUSTRY,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DIAGNOSTIC,2021-01-09,2021-01-28
TERMINATED,YES,DRUG: Disulfiram|DRUG: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE2,11,OTHER,"Allocation: RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2021-08-18,2022-02-28
COMPLETED,YES,DRUG: Alteplase 50 MG [Activase]|DRUG: Alteplase 50 MG [Activase],ALL,"ADULT, OLDER_ADULT",PHASE2,50,OTHER,Allocation: RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,2020-05-14,2021-09-30
RECRUITING,NO,DRUG: TriCor® 145mg tablets|OTHER: Placebo|OTHER: Usual care,ALL,"ADULT, OLDER_ADULT",PHASE3,55,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2021-01-01,2022-07-01
RECRUITING,NO,DRUG: Allopurinol 200 mg|DRUG: Optional intervention,ALL,"ADULT, OLDER_ADULT",PHASE3,1116,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2023-09-01,2028-07-31
UNKNOWN,NO,BIOLOGICAL: COVAX,ALL,"ADULT, OLDER_ADULT",PHASE4,1440,INDUSTRY,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION,2021-10,2022-03
RECRUITING,NO,"BIOLOGICAL: Comvigen (Bivalent, ChulaCov19 BNA159.2)|BIOLOGICAL: BIVALENT Pfizer/BNT vaccine",ALL,ADULT,PHASE2,450,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: OTHER,2023-10-09,2024-02
TERMINATED,NO,DEVICE: NOWDx COVID-19 Test,ALL,"CHILD, ADULT, OLDER_ADULT",NA,50,INDUSTRY,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DIAGNOSTIC,2021-04-01,2021-10-28
COMPLETED,NO,DIAGNOSTIC_TEST: Test all,ALL,"CHILD, ADULT, OLDER_ADULT",NA,152082,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: OTHER,2022-05-17,2023-03-31
UNKNOWN,NO,"OTHER: 35 ml blood, 5 tubes LITHIUM HEPARINATE at each time (hospitalized Patients )|OTHER: 35 ml blood, 5 tubes LITHIUM HEPARINATE at each time (cured Patients)",ALL,"ADULT, OLDER_ADULT",NA,60,OTHER,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2020-06-01,2021-03-01
